2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2
2,0,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,0,2
2,0,2,8,2,2,2,2,2,2,2,2,2,2,2,2,8,2,0,2
2,0,2,8,2,9,9,9,9,9,9,9,9,9,9,2,8,2,0,2
2,0,2,8,2,9,2,2,2,2,2,2,2,2,9,2,8,2,0,2
2,0,2,2,2,9,2,2,2,2,2,2,2,2,2,2,8,2,2,2
2,0,2,8,2,9,2,2,2,2,2,2,2,2,9,2,8,2,0,2
2,0,2,8,2,9,9,9,9,9,9,9,9,9,9,2,8,2,0,2
2,0,2,8,2,2,2,2,2,2,2,2,2,2,2,2,8,2,0,2
2,0,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,0,2
2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
