2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,1,2,1,2,3,2,2,2,5,2,2,6,2,2,2,8,2,2,2
2,1,2,1,2,3,2,2,5,2,5,2,6,2,2,2,8,2,2,2
2,1,1,1,2,3,2,2,5,5,5,2,6,2,2,2,8,2,2,2
2,1,2,1,2,3,2,2,5,2,5,2,6,2,2,2,8,2,2,2
2,1,2,1,2,3,2,2,5,2,5,2,6,6,6,2,8,8,8,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,0,0,0,2,7,7,7,2,9,9,9,2,4,4,4,2,2,2
2,2,2,0,2,2,7,2,2,2,9,2,2,2,2,4,2,2,2,2
2,2,2,0,2,2,7,7,7,2,9,9,9,2,2,4,2,2,2,2
2,2,2,0,2,2,7,2,2,2,2,2,9,2,2,4,2,2,2,2
2,2,2,0,2,2,7,7,7,2,9,9,9,2,2,4,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
